x y
-1.639055589387177436e+00 -1.388995797434823709e+00
-4.284517917864093528e-01 -6.213221705418708884e-01
2.063438187761886145e+00 1.649223350474622096e+00
1.082754304193211947e+00 1.815005473890153098e+00
5.413171760413855171e-01 5.685981835011457708e-01
8.190296094772089308e-01 1.804051535303932141e-01
2.063672213931114219e-01 5.703196948985285175e-01
3.568244990244390791e-01 1.582197998485661006e-01
2.935565598255640563e+00 2.347457011627335444e+00
-1.264312183338653917e+00 -1.821705651441286378e+00
1.465969786289657684e+00 1.332201258004235722e+00
5.708275308218472288e-01 4.813375967089333907e-01
-4.415541844223492829e-01 3.683160515960649528e-01
1.533796314444835218e-02 -2.530074113864148599e-01
1.027826091008689824e+00 8.811439982570425933e-01
1.600100361303391505e+00 2.232851397030600538e+00
-6.111151455349334016e-01 -3.704897281929344643e-01
-1.245864354817509456e+00 -2.161767049067741198e+00
-4.849614387895874179e-01 1.002633161466930378e-01
1.079362792267071075e-02 -1.344472690944037430e-01
1.146626286552341112e+00 1.104424670607831560e+00
-1.059176780147158992e+00 -2.135373180625659728e+00
2.463301413391683903e-01 -5.971006679239609927e-01
-1.971136550373669083e+00 -1.815519981322008869e+00
-1.226849291381071572e+00 -1.241502983784396053e+00
-8.154089264983606089e-01 -7.183480662795540539e-01
2.259464966006174524e+00 3.678088659915809133e-01
-2.372621220644014706e+00 -1.247486116818840696e+00
-1.105595567007252145e+00 -1.048364021510390875e+00
-1.641140503968284037e+00 -1.698966361140791026e+00
-9.017115297673672369e-01 2.604753953882956719e-01
-1.941295033099742495e-01 2.032867276120438327e-02
4.345432296918041448e-01 -2.207173271516128799e-01
9.402757372045771334e-01 1.179807950679939488e+00
8.758739205132509698e-02 4.738263661621046618e-01
1.045195476782260435e+00 1.853582858516802823e+00
-1.182022111543913789e+00 -8.184028755523383714e-01
-2.953725686840776854e-01 -1.549499907229600348e-01
1.925584788347213694e+00 1.166991408412201947e+00
6.881605379651184462e-01 1.691837360121120071e-01
1.454016382328340073e+00 1.474479187521477774e+00
2.661262406147912429e+00 1.024083983658317321e+00
2.025117449951387094e+00 1.455036990432784672e+00
-2.053127787373889124e+00 -1.397438856425128773e+00
1.895761617219773876e-01 -8.993190300949467364e-01
-3.040594696902857441e-01 4.528501965858811040e-01
-1.089438458229928242e-01 6.109809071057770158e-01
2.987852661280386291e-01 8.010370968804207958e-01
-3.066223549640419987e-01 -1.961093789096222562e+00
-1.241317295214210858e+00 -5.331909798205262119e-01
-1.930406094356745816e-01 -5.591875755171782370e-01
1.059385479179540956e+00 1.222234460233964648e-01
2.529414052279610914e+00 2.859193818017748079e+00
3.033958236504460601e-02 8.817955022241295848e-02
1.211127411424248956e+00 1.664081198239638182e+00
8.586908095111005501e-01 3.879059726620903703e-01
-1.627104454803514066e+00 -1.386145401470852967e+00
5.522060115345711617e-02 7.388616003785535291e-01
1.526607314895939593e+00 1.444297338395212682e+00
5.939488237143799587e-01 5.215859985330539850e-01
8.045773192378173622e-02 1.002646944514813537e-01
-1.375493042404468902e+00 -1.609897850619514958e+00
-1.937945051652494088e+00 -6.397159604473279249e-01
-3.213397950197169006e+00 -1.871041231495729651e+00
-1.340724297997303305e+00 -7.374690855910468468e-01
7.736550347228340341e-01 4.074857016155094547e-01
-1.407655558856834466e+00 -8.678936245843014152e-01
1.772971242282477267e+00 5.743503986141573758e-02
-6.948808874770548982e-01 -7.762755646941705834e-01
2.186411033458284248e-01 9.678714912221100253e-01
2.628678300782926747e-01 -2.977553302407104918e-01
1.076389022371918136e+00 1.094026097060526004e+00
7.915254551368880453e-02 -4.643783113753382485e-01
-1.205086471694383432e+00 -2.045844964660152421e+00
1.772525958390950951e+00 1.387768373636652175e+00
1.068321055369837680e+00 6.889045121502179736e-01
1.657069093470637133e+00 1.043693914162937775e+00
-8.953815438771611790e-01 -7.372512021084328682e-01
-5.118143940736707975e-01 -1.472218133575906585e+00
-1.674932711823869713e+00 -5.314089966045347779e-01
9.238874730382746758e-01 8.864018217111431230e-01
-1.405952885502572025e+00 -1.571626290856970032e+00
3.330794934774838900e-02 -1.666660242071517084e-01
-2.854192315149203796e-02 -2.482837737133954670e-01
8.317375203678787354e-01 4.433959476292990698e-01
5.976629308728107492e-01 -4.851228258825893147e-01
1.056584365569891437e+00 5.767580343448621694e-01
-1.101201609729500985e+00 -8.525345651698060800e-01
-9.615628252204695414e-01 -9.929220905915665529e-01
1.446953036688962468e+00 4.839219596834125059e-01
1.212335543194720255e-01 -2.193283605031721706e+00
-1.595939660906932289e+00 -2.153761635087447335e+00
1.518646011513455907e+00 1.644537750571725354e+00
1.535357659028537602e+00 2.021436606919211787e+00
1.865104845837021408e+00 7.704643920007718805e-01
